Year,Position,Finish Time,Name,Event Distance (km),Elevation (m),Club,Country,Gender,Catergory,Average Speed (km/h)
2008,19,25:42:21,BLANC Pascal,165.0,9448,Lafuma,FRA,M,M40,6.4
2008,20,25:42:21,CHAIGNEAU Sebastien,165.0,9448,The North Face,FRA,M,M35,6.4
2007,1,21:31:58,OLMO Marco,163.0,8835,M&P Risk Agency,ITA,M,M55,7.6
2007,2,22:23:55,LUKAS Jens,163.0,8835,LSG Karlsruhe,GER,M,M40,7.3
2007,3,22:30:51,MERMOUD Nicolas,163.0,8835,*Annecy Le Vieux,FRA,M,M40,7.2
2007,4,22:48:52,BONAUDO Samuel,163.0,8835,Team Salomon,FRA,M,M35,7.1
2007,5,23:00:43,SHERPA Dachhiri-Dawa,163.0,8835,Team Quechua - Apache,NEP,M,M35,7.1
2007,6,23:40:43,JAQUEROD Christophe,163.0,8835,Lafuma Team,FRA,M,M35,6.9
2007,7,23:40:43,MILLET Guillaume,163.0,8835,Team Lafuma,SUI,M,M40,6.9
2007,8,23:51:34,POWELL Alun,163.0,8835,Pudsey & Bramley Ac,GBR,M,M35,6.8
2007,9,23:58:34,OLIVAR ROLDAN Aurelio-Antonio,163.0,8835,Trail Magazine,ESP,M,M35,6.8
2007,10,24:02:01,DARMAILLACQ Nicolas,163.0,8835,Gipsport Aventure,FRA,M,M23,6.8
2007,11,24:03:26,GUILLON Antoine,163.0,8835,Go2-La Sportiva-Taill'...,FRA,M,M35,6.8
2007,12,24:24:25,KABURAKI Tsuyoshi,163.0,8835,Team The North Face,JPN,M,M35,6.7
2007,13,24:32:17,GIRARD Matthieu,163.0,8835,Ufo,SUI,M,M35,6.6
2007,14,24:37:07,BARNES Pablo,163.0,8835,Atletica Varazze,ARG,M,M23,6.6
2007,15,24:59:10,BARTHES Serge,163.0,8835,Lou Athle,FRA,M,M45,6.5
2007,16,24:59:10,MASSON Yves,163.0,8835,Team Salomon/Team Mara...,FRA,M,M45,6.5
2007,17,25:09:00,OULEDI WILFRID,163.0,8835,Tesb,FRA,M,M35,6.5
2007,18,25:12:53,BLANC Pascal,163.0,8835,Lafuma Enduranceshop,FRA,M,M40,6.5
2007,19,25:23:45,KIMBALL Nikki,163.0,8835,Tnf,USA,F,W40,6.4
2007,20,25:29:39,BERTHAULT Philippe,163.0,8835,As Du Plessis Savigny-...,FRA,M,M40,6.4
2006,1,21:06:06,OLMO Marco,155.0,8594,*Robilante Cuneo,ITA,M,M55,7.3
2006,2,21:37:32,NEMETH Csaba,155.0,8594,Nomadsport-Trackabee,HUN,M,M35,7.2
2006,3,21:59:29,DELEBARRE Vincent,155.0,8594,Les Trailers Du Mont B...,FRA,M,M35,7.0
2006,4,22:15:15,LUKAS Jens,155.0,8594,LSG Karlsruhe,GER,M,M40,7.0
2006,5,22:54:11,MILLET Guillaume,155.0,8594,Lafuma Team,FRA,M,M35,6.8
2006,6,23:25:06,GRIVEL Stephane,155.0,8594,Legendre Bretagne 2,FRA,M,M35,6.6
2006,7,23:26:38,STAUB Vincent,155.0,8594,Les Trotteurs,SUI,M,M23,6.6
2006,8,23:40:36,MERMOUD Nicolas,155.0,8594,*Annecy Le Vieux,FRA,M,M35,6.5
2006,9,23:42:56,OULEDI WILFRID,155.0,8594,Tesb,FRA,M,M23,6.5
2006,10,23:53:02,LLONCH CASASAMPERA Enric,155.0,8594,,ESP,M,M23,6.5
2006,11,23:56:43,BAUD Patrice,155.0,8594,,FRA,M,M35,6.5
2006,12,24:03:11,SERAZIN Johan,155.0,8594,Legendre Bretagne 1,FRA,M,M35,6.4
2006,13,24:07:38,ALBIZURI BERISTAIN Jose Luis ,155.0,8594,Lagun Onak M.B.,ESP,M,M40,6.4
2006,14,24:14:20,PYKE Stephen,155.0,8594,,GBR,M,M40,6.4
2006,15,24:21:40,GIRARD Matthieu,155.0,8594,Ufo,SUI,M,M23,6.4
2006,16,24:27:36,BERNARD Guillaume,155.0,8594,UFO,FRA,M,M35,6.3
2006,17,24:27:36,BONNOTTE Eric,155.0,8594,Ea Chambery,FRA,M,M40,6.3
2006,18,24:27:36,CERCUEIL Michel,155.0,8594,AL Echirolles,FRA,M,M23,6.3
2006,19,24:27:36,HOBLEA Fabien,155.0,8594,Al Echirolles,FRA,M,M23,6.3
2006,20,24:43:29,BAGNOUD G√©rard,155.0,8594,*GenËve,SUI,M,M35,6.3
2005,1,21:11:07,JAQUEROD Christophe,155.0,8639,Team Lafuma,SUI,M,M35,7.3
2005,2,21:25:02,DELEBARRE Vincent,155.0,8639,Les Trailers Du Mont B...,FRA,M,M35,7.2
2005,3,21:49:57,OLMO Marco,155.0,8639,*Robilante Cuneo,ITA,M,M55,7.1
2005,4,23:45:24,GUILLON Antoine,155.0,8639,Lafuma Team,FRA,M,M35,6.5
2005,5,23:45:24,MILLET Guillaume,155.0,8639,Go2-La Sportiva-Taill'...,FRA,M,M35,6.5
2005,6,24:13:47,GAYLORD Topher,155.0,8639,The North Face,USA,M,M35,6.4
2005,7,24:16:37,QUINIO FRANCOIS,155.0,8639,*Epinay/Orge,FRA,M,M23,6.4
2005,8,24:19:24,MYRTAL Eddy,155.0,8639,,FRA,M,M35,6.4
2005,9,24:29:19,BERTOLI MATTEO,155.0,8639,ASS Spot Free Zone,ITA,M,M35,6.3
2005,10,24:43:39,ERNZEN Jean-Pierre,155.0,8639,,LUX,M,M40,6.3
2005,11,24:50:58,SCHWEIZER Werner,155.0,8639,Oxygene Annemasse,SUI,M,M65,6.2
2005,12,24:57:34,BRUNI Patrick,155.0,8639,Les Aigles De Pau,FRA,M,M35,6.2
2005,13,25:13:04,ISHIKAWA Hiroki,155.0,8639,*Kanagawa,USA,M,M23,6.1
2005,14,25:17:39,GRIVEL Stephane,155.0,8639,Legendre Bretagne 2,FRA,M,M23,6.1
2005,15,25:26:54,TECHER Henri,155.0,8639,ES Nanterre,FRA,M,M40,6.1
2005,16,25:29:41,CERCUEIL Michel,155.0,8639,AL Echirolles,FRA,M,M23,6.1
2005,17,25:32:51,MANDRA Fr√©d√©ric,155.0,8639,*La Rochelle,FRA,M,M35,6.1
2005,18,26:12:49,DURIN Frederic,155.0,8639,Emhm,FRA,M,M35,5.9
2005,19,26:21:05,JUCHEREAU Jannick,155.0,8639,Ac Roche S/Yon,FRA,M,M45,5.9
2005,20,26:21:05,TRECOURT Fran√ßois,155.0,8639,*Caluire,FRA,M,M45,5.9
2004,1,21:06:18,DELEBARRE Vincent,155.0,8307,Les Trailers Du Mont B...,FRA,M,M35,7.3
2004,2,23:02:28,SHERPA Dachhiri-Dawa,155.0,8307,Team Quechua,NEP,M,M23,6.7
2004,3,23:40:08,PACHE Jean Claude,155.0,8307,Carc Romont,SUI,M,M35,6.5
2004,4,23:50:36,FAVRE-FELIX Lionel,155.0,8307,*Dingy St Clair,FRA,M,M23,6.5
2004,5,23:54:09,NEMETH Csaba,155.0,8307,Team Olang,HUN,M,M35,6.5
2004,6,24:46:26,CERCUEIL Michel,155.0,8307,Ufo Team Maniak,FRA,M,M23,6.3
2004,7,24:46:28,VERDIER Philippe,155.0,8307,Ufo / Agf-Ela-Nike,FRA,M,M40,6.3
2004,8,25:20:30,FATTON Christian,155.0,8307,CCAP-Marti Sports,SUI,M,M40,6.1
2004,9,25:24:22,SCHWEIZER Werner,155.0,8307,Foulee Gland,SUI,M,M65,6.1
2004,10,25:36:29,TECHER Henri,155.0,8307,Les Fins Guimiers,FRA,M,M35,6.1
2004,11,25:58:10,GONDAS Ondrej,155.0,8307,Sv Jenesien Raiffeisen,SVK,M,M50,6.0
2004,12,25:59:08,STAMSTAD John,155.0,8307,Patagonia,USA,M,M35,5.7
2004,13,26:03:16,CEAGLIO Pierre,155.0,8307,*St Julien Montdenis,FRA,M,M23,5.9
2004,14,26:08:54,BORCARD Colette,155.0,8307,FSG Neirivue,SUI,F,W35,5.9
2004,15,26:31:31,LETELLIER Jean Claude,155.0,8307,*Dingy-Saint-Clair,FRA,M,M23,5.8
2004,16,26:36:38,MOKHTARI Labib,155.0,8307,Zschokte Locher,FRA,M,M40,5.8
2004,17,26:42:10,TWIETMEYER TIM,155.0,8307,Team The North Face,USA,M,M45,5.8
2004,18,27:01:09,BONNOTTE Eric,155.0,8307,Ufo,FRA,M,M35,5.7
2004,19,27:07:06,ECLAPIER Jean-Claude,155.0,8307,*Ile De La Reunion,FRA,M,M40,5.7
2004,20,27:07:07,ECLAPIER Dominique,155.0,8307,*La RÈunion,FRA,M,M45,5.7
2003,1,20:05:58,SHERPA Dachhiri-Dawa,150.0,8000,Team Fila,NEP,M,M23,7.5
2003,2,22:15:17,GAYLORD Topher,150.0,8000,The North Face,USA,M,M23,6.7
2003,3,22:15:17,SYBROWSKY Brandon,150.0,8000,Team Montrail,USA,M,M23,6.7
2003,4,23:37:17,SCHNEIDER Giselher,150.0,8000,LG Chiemgau S¸d,GER,M,M35,6.4
2003,5,24:18:36,SCHWEIZER Werner,150.0,8000,Foulee Gland,SUI,M,M60,6.2
2003,6,24:51:42,BOEBION Daniel,150.0,8000,Elan Voglanais,FRA,M,M55,6.0
2003,7,24:51:42,GONDAS Ondrej,150.0,8000,SV Jenesien Raiffeisen,SVK,M,M50,6.0
2003,8,24:53:43,HOBLEA Fabien,150.0,8000,Chambery Triathlon,FRA,M,M35,6.0
2003,9,25:33:41,COUMENGES Regis,150.0,8000,Tri Olympique Club Cessse,FRA,M,M23,5.9
2003,10,26:32:08,TECHER Henri,150.0,8000,Gazelles & Galopins,FRA,M,M35,5.7
2003,11,26:35:54,FAVRE-FELIX Lionel,150.0,8000,*Dingy St Clair,FRA,M,M23,5.6
2003,12,27:26:27,BONNOTTE Eric,150.0,8000,UFO,FRA,M,M35,5.5
2003,13,27:26:27,PIGEAULT Jean-Luc,150.0,8000,Courir A Voreppe,FRA,M,M40,5.5
2003,14,27:44:06,BOUDAY Luc,150.0,8000,Cnp Pontarlier,FRA,M,M50,5.4
2003,15,27:45:12,LESEURRE Jerome,150.0,8000,Ufo,FRA,M,M23,5.4
2003,16,28:18:54,VUILLEMENOT Roland,150.0,8000,Ultra Maarathon Franc,FRA,M,M55,5.3
2003,17,28:31:02,POLETTI Michel,150.0,8000,Cmbm / Ufo,FRA,M,M45,5.3
2003,18,28:31:02,BERTONE Silvio,150.0,8000,Atletica Rivoli S.Giusep,ITA,M,M35,5.3
2003,19,29:02:07,DELEMONTEZ Didier,150.0,8000,Faucigny Athletic Club,FRA,M,M45,5.2
2003,20,29:15:53,CORDIER Eric,150.0,8000,,FRA,M,M35,5.1
